survey_id,freq_desc,year,load_time,state_name,marketing_id
0,ANNUAL,2020,2021-03-18 15:00:29,ALABAMA,MARKETING YEARAL2020
1,ANNUAL,2019,2021-03-18 15:00:29,ALABAMA,MARKETING YEARAL2019
2,ANNUAL,2018,2020-03-19 15:06:59,ALABAMA,MARKETING YEARAL2018
3,ANNUAL,2020,2021-03-18 15:00:29,ARIZONA,MARKETING YEARAZ2020
4,ANNUAL,2019,2021-03-18 15:00:29,ARIZONA,MARKETING YEARAZ2019
5,ANNUAL,2018,2020-03-19 15:06:59,ARIZONA,MARKETING YEARAZ2018
6,ANNUAL,2020,2021-03-18 15:00:29,ARKANSAS,MARKETING YEARAR2020
7,ANNUAL,2019,2021-03-18 15:00:29,ARKANSAS,MARKETING YEARAR2019
8,ANNUAL,2018,2020-03-19 15:06:59,ARKANSAS,MARKETING YEARAR2018
9,ANNUAL,2020,2021-03-18 15:00:29,CALIFORNIA,MARKETING YEARCA2020
10,ANNUAL,2019,2021-03-18 15:00:29,CALIFORNIA,MARKETING YEARCA2019
11,ANNUAL,2018,2020-03-19 15:06:59,CALIFORNIA,MARKETING YEARCA2018
12,ANNUAL,2020,2021-03-18 15:00:29,COLORADO,MARKETING YEARCO2020
13,ANNUAL,2019,2021-03-18 15:00:29,COLORADO,MARKETING YEARCO2019
14,ANNUAL,2018,2020-03-19 15:06:59,COLORADO,MARKETING YEARCO2018
15,ANNUAL,2020,2021-03-18 15:00:29,FLORIDA,MARKETING YEARFL2020
16,ANNUAL,2019,2021-03-18 15:00:29,FLORIDA,MARKETING YEARFL2019
17,ANNUAL,2018,2020-03-19 15:06:59,FLORIDA,MARKETING YEARFL2018
18,ANNUAL,2020,2021-03-18 15:00:29,GEORGIA,MARKETING YEARGA2020
19,ANNUAL,2019,2021-03-18 15:00:29,GEORGIA,MARKETING YEARGA2019
20,ANNUAL,2018,2020-03-19 15:06:59,GEORGIA,MARKETING YEARGA2018
21,ANNUAL,2020,2021-03-18 15:00:29,HAWAII,MARKETING YEARHI2020
22,ANNUAL,2019,2021-03-18 15:00:29,HAWAII,MARKETING YEARHI2019
23,ANNUAL,2018,2020-03-19 15:06:59,HAWAII,MARKETING YEARHI2018
24,ANNUAL,2020,2021-03-18 15:00:29,IDAHO,MARKETING YEARID2020
25,ANNUAL,2019,2021-03-18 15:00:29,IDAHO,MARKETING YEARID2019
26,ANNUAL,2018,2020-03-19 15:06:59,IDAHO,MARKETING YEARID2018
27,ANNUAL,2020,2021-03-18 15:00:29,ILLINOIS,MARKETING YEARIL2020
28,ANNUAL,2019,2021-03-18 15:00:29,ILLINOIS,MARKETING YEARIL2019
29,ANNUAL,2018,2020-03-19 15:06:59,ILLINOIS,MARKETING YEARIL2018
30,ANNUAL,2020,2021-03-18 15:00:29,INDIANA,MARKETING YEARIN2020
31,ANNUAL,2019,2021-03-18 15:00:29,INDIANA,MARKETING YEARIN2019
32,ANNUAL,2018,2020-03-19 15:06:59,INDIANA,MARKETING YEARIN2018
33,ANNUAL,2020,2021-03-18 15:00:29,IOWA,MARKETING YEARIA2020
34,ANNUAL,2019,2021-03-18 15:00:29,IOWA,MARKETING YEARIA2019
35,ANNUAL,2018,2020-03-19 15:06:59,IOWA,MARKETING YEARIA2018
36,ANNUAL,2020,2021-03-18 15:00:29,KANSAS,MARKETING YEARKS2020
37,ANNUAL,2019,2021-03-18 15:00:29,KANSAS,MARKETING YEARKS2019
38,ANNUAL,2018,2020-03-19 15:06:59,KANSAS,MARKETING YEARKS2018
39,ANNUAL,2020,2021-03-18 15:00:29,KENTUCKY,MARKETING YEARKY2020
40,ANNUAL,2019,2021-03-18 15:00:29,KENTUCKY,MARKETING YEARKY2019
41,ANNUAL,2018,2020-03-19 15:06:59,KENTUCKY,MARKETING YEARKY2018
42,ANNUAL,2020,2021-03-18 15:00:29,LOUISIANA,MARKETING YEARLA2020
43,ANNUAL,2019,2021-03-18 15:00:29,LOUISIANA,MARKETING YEARLA2019
44,ANNUAL,2018,2020-03-19 15:06:59,LOUISIANA,MARKETING YEARLA2018
45,ANNUAL,2020,2021-03-18 15:00:29,MAINE,MARKETING YEARME2020
46,ANNUAL,2019,2021-03-18 15:00:29,MAINE,MARKETING YEARME2019
47,ANNUAL,2018,2020-03-19 15:06:59,MAINE,MARKETING YEARME2018
48,ANNUAL,2020,2021-03-18 15:00:29,MICHIGAN,MARKETING YEARMI2020
49,ANNUAL,2019,2021-03-18 15:00:29,MICHIGAN,MARKETING YEARMI2019
50,ANNUAL,2018,2020-03-19 15:06:59,MICHIGAN,MARKETING YEARMI2018
51,ANNUAL,2020,2021-03-18 15:00:29,MINNESOTA,MARKETING YEARMN2020
52,ANNUAL,2019,2021-03-18 15:00:29,MINNESOTA,MARKETING YEARMN2019
53,ANNUAL,2018,2020-03-19 15:06:59,MINNESOTA,MARKETING YEARMN2018
54,ANNUAL,2020,2021-03-18 15:00:29,MISSISSIPPI,MARKETING YEARMS2020
55,ANNUAL,2019,2021-03-18 15:00:29,MISSISSIPPI,MARKETING YEARMS2019
56,ANNUAL,2018,2020-03-19 15:06:59,MISSISSIPPI,MARKETING YEARMS2018
57,ANNUAL,2020,2021-03-18 15:00:29,MISSOURI,MARKETING YEARMO2020
58,ANNUAL,2019,2021-03-18 15:00:29,MISSOURI,MARKETING YEARMO2019
59,ANNUAL,2018,2020-03-19 15:06:59,MISSOURI,MARKETING YEARMO2018
60,ANNUAL,2020,2021-03-18 15:00:29,MONTANA,MARKETING YEARMT2020
61,ANNUAL,2019,2021-03-18 15:00:29,MONTANA,MARKETING YEARMT2019
62,ANNUAL,2018,2020-03-19 15:06:59,MONTANA,MARKETING YEARMT2018
63,ANNUAL,2020,2021-03-18 15:00:29,NEBRASKA,MARKETING YEARNE2020
64,ANNUAL,2019,2021-03-18 15:00:29,NEBRASKA,MARKETING YEARNE2019
65,ANNUAL,2018,2020-03-19 15:06:59,NEBRASKA,MARKETING YEARNE2018
66,ANNUAL,2020,2021-03-18 15:00:29,NEW JERSEY,MARKETING YEARNJ2020
67,ANNUAL,2019,2021-03-18 15:00:29,NEW JERSEY,MARKETING YEARNJ2019
68,ANNUAL,2018,2020-03-19 15:06:59,NEW JERSEY,MARKETING YEARNJ2018
69,ANNUAL,2020,2021-03-18 15:00:29,NEW YORK,MARKETING YEARNY2020
70,ANNUAL,2019,2021-03-18 15:00:29,NEW YORK,MARKETING YEARNY2019
71,ANNUAL,2018,2020-03-19 15:06:59,NEW YORK,MARKETING YEARNY2018
72,ANNUAL,2020,2021-03-18 15:00:29,NORTH CAROLINA,MARKETING YEARNC2020
73,ANNUAL,2019,2021-03-18 15:00:29,NORTH CAROLINA,MARKETING YEARNC2019
74,ANNUAL,2018,2020-03-19 15:06:59,NORTH CAROLINA,MARKETING YEARNC2018
75,ANNUAL,2020,2021-03-18 15:00:29,NORTH DAKOTA,MARKETING YEARND2020
76,ANNUAL,2019,2021-03-18 15:00:29,NORTH DAKOTA,MARKETING YEARND2019
77,ANNUAL,2018,2020-03-19 15:06:59,NORTH DAKOTA,MARKETING YEARND2018
78,ANNUAL,2020,2021-03-18 15:00:29,OHIO,MARKETING YEAROH2020
79,ANNUAL,2019,2021-03-18 15:00:29,OHIO,MARKETING YEAROH2019
80,ANNUAL,2018,2020-03-19 15:06:59,OHIO,MARKETING YEAROH2018
81,ANNUAL,2020,2021-03-18 15:00:29,OREGON,MARKETING YEAROR2020
82,ANNUAL,2019,2021-03-18 15:00:29,OREGON,MARKETING YEAROR2019
83,ANNUAL,2018,2020-03-19 15:06:59,OREGON,MARKETING YEAROR2018
84,ANNUAL,2020,2021-03-18 15:00:29,PENNSYLVANIA,MARKETING YEARPA2020
85,ANNUAL,2019,2021-03-18 15:00:29,PENNSYLVANIA,MARKETING YEARPA2019
86,ANNUAL,2018,2020-03-19 15:06:59,PENNSYLVANIA,MARKETING YEARPA2018
87,ANNUAL,2020,2021-03-18 15:00:29,SOUTH CAROLINA,MARKETING YEARSC2020
88,ANNUAL,2019,2021-03-18 15:00:29,SOUTH CAROLINA,MARKETING YEARSC2019
89,ANNUAL,2018,2020-03-19 15:06:59,SOUTH CAROLINA,MARKETING YEARSC2018
90,ANNUAL,2020,2021-03-18 15:00:29,SOUTH DAKOTA,MARKETING YEARSD2020
91,ANNUAL,2019,2021-03-18 15:00:29,SOUTH DAKOTA,MARKETING YEARSD2019
92,ANNUAL,2018,2020-03-19 15:06:59,SOUTH DAKOTA,MARKETING YEARSD2018
93,ANNUAL,2020,2021-03-18 15:00:29,TENNESSEE,MARKETING YEARTN2020
94,ANNUAL,2019,2021-03-18 15:00:29,TENNESSEE,MARKETING YEARTN2019
95,ANNUAL,2018,2020-03-19 15:06:59,TENNESSEE,MARKETING YEARTN2018
96,ANNUAL,2020,2021-03-18 15:00:29,TEXAS,MARKETING YEARTX2020
97,ANNUAL,2019,2021-03-18 15:00:29,TEXAS,MARKETING YEARTX2019
98,ANNUAL,2018,2020-03-19 15:06:59,TEXAS,MARKETING YEARTX2018
99,ANNUAL,2020,2021-03-18 15:00:29,UTAH,MARKETING YEARUT2020
100,ANNUAL,2019,2021-03-18 15:00:29,UTAH,MARKETING YEARUT2019
101,ANNUAL,2018,2020-03-19 15:06:59,UTAH,MARKETING YEARUT2018
102,ANNUAL,2020,2021-03-18 15:00:29,VERMONT,MARKETING YEARVT2020
103,ANNUAL,2019,2021-03-18 15:00:29,VERMONT,MARKETING YEARVT2019
104,ANNUAL,2018,2020-03-19 15:06:59,VERMONT,MARKETING YEARVT2018
105,ANNUAL,2020,2021-03-18 15:00:29,VIRGINIA,MARKETING YEARVA2020
106,ANNUAL,2019,2021-03-18 15:00:29,VIRGINIA,MARKETING YEARVA2019
107,ANNUAL,2018,2020-03-19 15:06:59,VIRGINIA,MARKETING YEARVA2018
108,ANNUAL,2020,2021-03-18 15:00:29,WASHINGTON,MARKETING YEARWA2020
109,ANNUAL,2019,2021-03-18 15:00:29,WASHINGTON,MARKETING YEARWA2019
110,ANNUAL,2018,2020-03-19 15:06:59,WASHINGTON,MARKETING YEARWA2018
111,ANNUAL,2020,2021-03-18 15:00:29,WEST VIRGINIA,MARKETING YEARWV2020
112,ANNUAL,2019,2021-03-18 15:00:29,WEST VIRGINIA,MARKETING YEARWV2019
113,ANNUAL,2018,2020-03-19 15:06:59,WEST VIRGINIA,MARKETING YEARWV2018
114,ANNUAL,2020,2021-03-18 15:00:29,WISCONSIN,MARKETING YEARWI2020
115,ANNUAL,2019,2021-03-18 15:00:29,WISCONSIN,MARKETING YEARWI2019
116,ANNUAL,2018,2020-03-19 15:06:59,WISCONSIN,MARKETING YEARWI2018
117,ANNUAL,2020,2021-03-18 15:00:29,WYOMING,MARKETING YEARWY2020
118,ANNUAL,2019,2021-03-18 15:00:29,WYOMING,MARKETING YEARWY2019
119,ANNUAL,2018,2020-03-19 15:06:59,WYOMING,MARKETING YEARWY2018
120,ANNUAL,2020,2021-03-18 15:00:29,OTHER STATES,MARKETING YEAROT2020
121,ANNUAL,2019,2021-03-18 15:00:29,OTHER STATES,MARKETING YEAROT2019
122,ANNUAL,2018,2020-03-19 15:06:59,OTHER STATES,MARKETING YEAROT2018
123,ANNUAL,2017,2019-06-25 15:00:09,ALABAMA,MARKETING YEARAL2017
124,ANNUAL,2016,2019-06-25 15:00:09,ALABAMA,MARKETING YEARAL2016
125,ANNUAL,2015,2019-06-25 15:00:09,ALABAMA,MARKETING YEARAL2015
126,ANNUAL,2014,2019-06-25 15:00:09,ALABAMA,MARKETING YEARAL2014
127,ANNUAL,2013,2019-06-25 15:00:09,ALABAMA,MARKETING YEARAL2013
128,ANNUAL,2012,2014-03-21 15:15:54,ALABAMA,MARKETING YEARAL2012
129,ANNUAL,2011,2013-03-18 15:16:59,ALABAMA,MARKETING YEARAL2011
130,ANNUAL,2010,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2010
131,ANNUAL,2009,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2009
132,ANNUAL,2008,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2008
133,ANNUAL,2007,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2007
134,ANNUAL,2006,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2006
135,ANNUAL,2005,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2005
136,ANNUAL,2004,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2004
137,ANNUAL,2003,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2003
138,ANNUAL,2002,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2002
139,ANNUAL,2001,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2001
140,ANNUAL,2000,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL2000
141,ANNUAL,1999,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1999
142,ANNUAL,1998,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1998
143,ANNUAL,1997,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1997
144,ANNUAL,1996,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1996
145,ANNUAL,1995,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1995
146,ANNUAL,1994,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1994
147,ANNUAL,1993,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1993
148,ANNUAL,1992,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1992
149,ANNUAL,1991,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1991
150,ANNUAL,1990,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1990
151,ANNUAL,1989,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1989
152,ANNUAL,1988,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1988
153,ANNUAL,1987,2012-01-01 00:00:00,ALABAMA,MARKETING YEARAL1987
154,ANNUAL,2017,2019-06-25 15:00:09,ARIZONA,MARKETING YEARAZ2017
155,ANNUAL,2016,2019-06-25 15:00:09,ARIZONA,MARKETING YEARAZ2016
156,ANNUAL,2015,2019-06-25 15:00:09,ARIZONA,MARKETING YEARAZ2015
157,ANNUAL,2014,2019-06-25 15:00:09,ARIZONA,MARKETING YEARAZ2014
158,ANNUAL,2013,2019-06-25 15:00:09,ARIZONA,MARKETING YEARAZ2013
159,ANNUAL,2012,2014-03-21 15:15:54,ARIZONA,MARKETING YEARAZ2012
160,ANNUAL,2011,2013-03-18 15:16:59,ARIZONA,MARKETING YEARAZ2011
161,ANNUAL,2010,2012-01-01 00:00:00,ARIZONA,MARKETING YEARAZ2010
162,ANNUAL,2009,2012-01-01 00:00:00,ARIZONA,MARKETING YEARAZ2009
163,ANNUAL,2008,2012-01-01 00:00:00,ARIZONA,MARKETING YEARAZ2008
164,ANNUAL,2007,2012-01-01 00:00:00,ARIZONA,MARKETING YEARAZ2007
165,ANNUAL,2006,2012-01-01 00:00:00,ARIZONA,MARKETING YEARAZ2006
166,ANNUAL,2005,2012-01-01 00:00:00,ARIZONA,MARKETING YEARAZ2005
167,ANNUAL,2004,2012-01-01 00:00:00,ARIZONA,MARKETING YEARAZ2004
