survey_id,sector_desc,class_desc,group_desc,commodity_desc,marketing_id
0,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2020
1,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2019
2,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2018
3,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2020
4,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2019
5,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2018
6,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2020
7,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2019
8,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2018
9,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2020
10,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2019
11,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2018
12,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2020
13,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2019
14,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2018
15,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARFL2020
16,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARFL2019
17,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARFL2018
18,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARGA2020
19,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARGA2019
20,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARGA2018
21,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARHI2020
22,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARHI2019
23,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARHI2018
24,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARID2020
25,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARID2019
26,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARID2018
27,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIL2020
28,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIL2019
29,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIL2018
30,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIN2020
31,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIN2019
32,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIN2018
33,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIA2020
34,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIA2019
35,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARIA2018
36,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARKS2020
37,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARKS2019
38,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARKS2018
39,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARKY2020
