survey_id,value,domain_desc,unit_desc,short_desc,statisticcat_desc,marketing_id
12220,12.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAL2020
12221,28.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAL2020
12222,27.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAL2019
12223,30.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAL2019
12224,46.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAL2019
12225,29.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAL2018
12226,25.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAL2018
12227,77.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAL2018
12228,20.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAL2018
12229,19.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAL2017
12230,17.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAL2017
12231,69.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAL2017
12232,22.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAL2017
12233,24.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAL2016
12234,9.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAL2016
12235,11.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAL2016
12236,12.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAL2016
12237,10.0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAL2015
12238,16.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAL2015
12239,63.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAL2015
12240,3.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAL2015
12241,31.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAZ2020
12242,22.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAZ2020
12243,25.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAZ2019
12244,29.0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAZ2019
12245,53.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAZ2019
12246,36.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAZ2018
12247,73.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAZ2018
12248,52.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAZ2018
12249,20.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAZ2018
12250,35.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JAN THRU MARAZ2017
12251,58.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,APR THRU JUNAZ2017
12252,19.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,JUL THRU SEPAZ2017
12253,61.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,OCT THRU DECAZ2017
